colectivo_amba,subte_amba,tren_amba,anio,mes,dia_semana
774164,72180,112267,2020,1,2
2941242,511136,719232,2020,1,3
3189868,536129,779038,2020,1,4
2231075,232491,460891,2020,1,5
1381083,127770,203694,2020,1,6
3128048,543433,771588,2020,1,0
3155792,553337,773865,2020,1,1
3140755,546992,776059,2020,1,2
3102208,551974,771103,2020,1,3
3230721,551782,802187,2020,1,4
2203095,233528,442599,2020,1,5
1357190,128084,212369,2020,1,6
3102726,537425,767169,2020,1,0
2880576,519193,710393,2020,1,1
2862087,517225,662197,2020,1,2
3204902,561236,793932,2020,1,3
3253800,541901,812866,2020,1,4
2250199,197352,477356,2020,1,5
1368252,101496,210334,2020,1,6
2972548,428750,701020,2020,1,0
2941783,433795,699566,2020,1,1
3164928,452305,760902,2020,1,2
3118735,450568,754859,2020,1,3
3143003,440591,760372,2020,1,4
2108373,179852,429901,2020,1,5
1346408,103512,204393,2020,1,6
3096800,442972,759503,2020,1,0
3127197,454479,756664,2020,1,1
3049117,450519,735367,2020,1,2
3178859,465182,771040,2020,1,3
3243216,459544,794180,2020,1,4
2231375,196308,448703,2020,2,5
1369764,103537,189004,2020,2,6
3062297,531629,769954,2020,2,0
3094851,541188,763573,2020,2,1
3152378,551184,772402,2020,2,2
3132995,551675,772279,2020,2,3
3063696,541845,759137,2020,2,4
2340200,248893,469835,2020,2,5
1466148,139777,223128,2020,2,6
3339221,572371,830682,2020,2,0
3071927,613573,832963,2020,2,1
3409967,607412,847168,2020,2,2
3410186,594862,838335,2020,2,3
3496312,587572,851506,2020,2,4
2314426,249134,488689,2020,2,5
1343880,129724,207789,2020,2,6
3138657,562555,764252,2020,2,0
3473550,590904,834492,2020,2,1
3498194,615562,859757,2020,2,2
3484771,602950,841328,2020,2,3
3535034,597057,868115,2020,2,4
2320156,244534,484115,2020,2,5
1453901,140582,220437,2020,2,6
1529185,160708,282156,2020,2,0
1481128,146881,267602,2020,2,1
3519028,603603,862241,2020,2,2
3500803,618367,858127,2020,2,3
3601221,625069,880417,2020,2,4
2426503,267587,494149,2020,2,5
1443868,138446,203648,2020,3,6
3614028,600301,828547,2020,3,0
3677845,620704,834473,2020,3,1
3712376,631391,854225,2020,3,2
3794900,648779,874806,2020,3,3
3904370,642675,886728,2020,3,4
2549059,286495,531253,2020,3,5
1487483,146363,38214,2020,3,6
3773231,706371,900832,2020,3,0
3950136,668245,879948,2020,3,1
3274370,597087,717821,2020,3,2
4104566,641434,867412,2020,3,3
4081380,608112,877560,2020,3,4
1765229,190204,335365,2020,3,5
1217017,96872,159761,2020,3,6
2677895,358404,597311,2020,3,0
2139405,264685,458503,2020,3,1
1957959,203162,366762,2020,3,2
1833727,105581,234926,2020,3,3
753861,20358,69314,2020,3,4
457388,9359,35957,2020,3,5
229813,5072,17221,2020,3,6
284227,5676,23024,2020,3,0
258003,4848,18542,2020,3,1
477344,15573,47071,2020,3,2
475249,15037,46084,2020,3,3
650450,15099,52959,2020,3,4
428942,7994,29120,2020,3,5
236606,4288,14189,2020,3,6
513545,13556,41815,2020,3,0
358903,6202,23011,2020,3,1
578664,15876,45990,2020,4,2
610052,15549,44482,2020,4,3
780544,17530,51507,2020,4,4
567353,9523,31176,2020,4,5
323173,5215,16186,2020,4,6
719675,18656,55060,2020,4,0
732266,18318,53128,2020,4,1
761590,19189,55127,2020,4,2
625215,14246,44184,2020,4,3
377477,7089,22191,2020,4,4
480975,9277,29787,2020,4,5
281426,5262,15198,2020,4,6
761625,22842,72455,2020,4,0
782552,21926,68095,2020,4,1
814113,23524,71875,2020,4,2
800443,24008,70527,2020,4,3
840692,25236,75882,2020,4,4
541224,11785,39771,2020,4,5
290498,6085,17392,2020,4,6
829587,26779,78691,2020,4,0
824027,26606,75366,2020,4,1
857200,28030,80518,2020,4,2
857397,27742,78647,2020,4,3
848002,29232,79217,2020,4,4
503281,12988,38101,2020,4,5
313630,6418,18556,2020,4,6
842805,30977,84194,2020,4,0
660293,26360,62515,2020,4,1
959755,32570,87238,2020,4,2
965707,34980,90980,2020,4,3
394879,8582,27234,2020,5,4
620037,14270,46753,2020,5,5
331427,6925,20137,2020,5,6
911340,34345,91577,2020,5,0
944037,33581,88928,2020,5,1
987339,35374,93671,2020,5,2
1006746,35748,95434,2020,5,3
1100456,37764,102875,2020,5,4
716761,16630,55016,2020,5,5
372196,7889,22468,2020,5,6
1048508,38379,110023,2020,5,0
1047612,38343,106318,2020,5,1
1070108,39612,110252,2020,5,2
1067123,40211,106392,2020,5,3
1133634,41302,116524,2020,5,4
738269,18154,64476,2020,5,5
380378,8379,24752,2020,5,6
1076935,42052,118097,2020,5,0
1071954,40875,113912,2020,5,1
1059097,41569,113398,2020,5,2
998075,40617,105167,2020,5,3
1072864,42341,114028,2020,5,4
736117,18674,66009,2020,5,5
361093,8349,23630,2020,5,6
328683,9927,31631,2020,5,0
989366,38122,107003,2020,5,1
994012,38140,105940,2020,5,2
1005759,38834,105791,2020,5,3
1069189,39472,109835,2020,5,4
649190,15173,53747,2020,5,5
333047,7624,20769,2020,5,6
967759,37033,104905,2020,6,0
969701,37410,104297,2020,6,1
982005,38283,108200,2020,6,2
988987,38333,106375,2020,6,3
1081587,40823,115941,2020,6,4
714013,17632,60141,2020,6,5
363577,8297,28513,2020,6,6
1054091,41291,116751,2020,6,0
1067925,40730,114315,2020,6,1
1091394,41223,115422,2020,6,2
1108340,42725,118019,2020,6,3
1158148,43412,124140,2020,6,4
764012,19182,65059,2020,6,5
366503,8446,24685,2020,6,6
501610,12586,43963,2020,6,0
1114851,42700,123467,2020,6,1
1074797,40806,114411,2020,6,2
1039701,40117,110201,2020,6,3
1048929,37357,111105,2020,6,4
640005,13624,53153,2020,6,5
347745,8031,22915,2020,6,6
943726,36187,99744,2020,6,0
925050,36135,97669,2020,6,1
982225,36732,103568,2020,6,2
1009231,37331,101663,2020,6,3
1044517,37714,103968,2020,6,4
704535,17348,60844,2020,6,5
349296,8203,27007,2020,6,6
942454,35181,102429,2020,6,0
857281,35410,94747,2020,6,1
687689,27694,84886,2020,7,2
716117,29301,92779,2020,7,3
806499,31474,100365,2020,7,4
550344,14750,49522,2020,7,5
291898,7396,24787,2020,7,6
814750,32704,104493,2020,7,0
819810,32817,103476,2020,7,1
886423,34032,112400,2020,7,2
439619,11404,42859,2020,7,3
495582,13049,46865,2020,7,4
562650,15030,51653,2020,7,5
299117,7653,23802,2020,7,6
877501,34305,114805,2020,7,0
863814,33185,112957,2020,7,1
891010,34385,113345,2020,7,2
862026,33684,105770,2020,7,3
990625,35742,123340,2020,7,4
643625,16488,64211,2020,7,5
348627,8457,25198,2020,7,6
969671,37091,127018,2020,7,0
930470,36544,122419,2020,7,1
938170,37292,125183,2020,7,2
903713,36795,117808,2020,7,3
987035,39369,127837,2020,7,4
696814,17959,57244,2020,7,5
357788,8603,27251,2020,7,6
976262,39145,132654,2020,7,0
963717,38561,122098,2020,7,1
968324,39578,128974,2020,7,2
970219,39712,131818,2020,7,3
1019875,41350,130070,2020,7,4
740587,19802,70668,2020,8,5
364245,8960,26624,2020,8,6
1002947,41573,127463,2020,8,0
999336,41266,119478,2020,8,1
1057453,42397,123594,2020,8,2
1013086,42079,130512,2020,8,3
1016424,42959,134096,2020,8,4
760529,20724,72092,2020,8,5
370661,9107,26812,2020,8,6
1078423,43634,141583,2020,8,0
1078613,44657,142147,2020,8,1
1083922,44413,136552,2020,8,2
1089065,44744,134539,2020,8,3
1162481,46471,153523,2020,8,4
849368,22151,81333,2020,8,5
409078,10028,30035,2020,8,6
506114,14105,47636,2020,8,0
1135372,39795,150650,2020,8,1
1103085,44039,142750,2020,8,2
1097697,45135,141301,2020,8,3
1189003,47224,147562,2020,8,4
827939,22544,81326,2020,8,5
414926,10241,32137,2020,8,6
1138171,46143,149006,2020,8,0
1073695,45819,136196,2020,8,1
1048455,45751,139556,2020,8,2
1148310,49463,152451,2020,8,3
1199849,47277,147566,2020,8,4
773351,22389,75277,2020,8,5
432082,11064,31991,2020,8,6
1156253,50798,152451,2020,8,0
1128983,49178,141399,2020,9,1
893336,43705,112424,2020,9,2
1168905,52163,141710,2020,9,3
1207182,60130,165112,2020,9,4
923901,26732,84142,2020,9,5
454047,11844,29689,2020,9,6
1222998,51882,161135,2020,9,0
1234347,52106,161541,2020,9,1
1221455,52016,155384,2020,9,2
1235247,52526,155687,2020,9,3
1290626,53588,170834,2020,9,4
912430,27303,92456,2020,9,5
474362,12593,33595,2020,9,6
1245853,53340,161016,2020,9,0
1259177,54650,168015,2020,9,1
1274975,54490,172081,2020,9,2
1280063,57992,169010,2020,9,3
1361657,57867,172557,2020,9,4
964739,29137,99069,2020,9,5
499813,13434,37682,2020,9,6
1263276,54682,168541,2020,9,0
1277802,55992,171513,2020,9,1
1293545,57219,178109,2020,9,2
1290691,57388,178112,2020,9,3
1273976,58219,169411,2020,9,4
757404,24689,69128,2020,9,5
452916,12618,37150,2020,9,6
1273146,55228,177204,2020,9,0
1323751,59757,177561,2020,9,1
1336699,59602,181532,2020,9,2
1328019,61401,183084,2020,10,3
1095345,66649,193443,2020,10,4
987180,32289,101254,2020,10,5
491745,13529,37764,2020,10,6
1339833,61598,189478,2020,10,0
1391895,62763,198513,2020,10,1
1421780,66174,207020,2020,10,2
1438119,65240,210433,2020,10,3
1511163,67544,203124,2020,10,4
1112630,35825,117857,2020,10,5
545320,15164,38102,2020,10,6
702297,21603,66403,2020,10,0
1485325,68392,221827,2020,10,1
1489875,69885,219534,2020,10,2
1486171,67581,213347,2020,10,3
1597303,72962,229832,2020,10,4
1143754,38198,126475,2020,10,5
645119,18418,47408,2020,10,6
1328732,64198,200463,2020,10,0
1262685,62136,175096,2020,10,1
1469233,70005,210409,2020,10,2
1244295,62339,177909,2020,10,3
1566586,76284,229548,2020,10,4
1126224,38703,120717,2020,10,5
473612,14301,39587,2020,10,6
1498871,70709,225156,2020,10,0
1515881,73451,222973,2020,10,1
1465968,72305,221337,2020,10,2
1523228,79528,236235,2020,10,3
1611779,82038,240966,2020,10,4
1188963,42128,131463,2020,10,5
652376,19605,49907,2020,11,6
1539745,74049,253694,2020,11,0
1556605,76885,268659,2020,11,1
1582443,79137,275819,2020,11,2
1650010,81868,276346,2020,11,3
1693465,84025,293793,2020,11,4
1267353,47741,157699,2020,11,5
699810,22790,60350,2020,11,6
1610696,81733,292105,2020,11,0
1667538,84879,290744,2020,11,1
1686977,84219,302894,2020,11,2
1687490,86047,302808,2020,11,3
1793704,88014,316785,2020,11,4
1275069,47858,165225,2020,11,5
730414,23315,66493,2020,11,6
1699073,84296,306623,2020,11,0
1716099,92144,313280,2020,11,1
1720934,87507,311333,2020,11,2
1756979,97256,317124,2020,11,3
1866511,96228,324940,2020,11,4
1383429,52618,178070,2020,11,5
771020,25286,75343,2020,11,6
851699,28690,100759,2020,11,0
1746169,92900,321784,2020,11,1
1637289,89460,282849,2020,11,2
1774529,96406,311986,2020,11,3
1882186,97804,338530,2020,11,4
1231346,48137,164680,2020,11,5
759283,24753,69835,2020,11,6
1814605,87950,332516,2020,11,0
1841728,98360,335197,2020,12,1
1809124,99821,329509,2020,12,2
1879496,112710,343724,2020,12,3
2084645,118029,372258,2020,12,4
1587682,68275,214802,2020,12,5
876363,32698,90733,2020,12,6
1056014,42361,144885,2020,12,0
947657,35943,126997,2020,12,1
1993692,120632,372949,2020,12,2
1960177,126129,358114,2020,12,3
2036952,120500,364030,2020,12,4
1563513,68628,216392,2020,12,5
797430,29319,77286,2020,12,6
2007780,114465,366497,2020,12,0
2006354,113578,357511,2020,12,1
2075200,121442,367906,2020,12,2
2065836,122889,362414,2020,12,3
2199558,132514,384289,2020,12,4
1681751,78866,231152,2020,12,5
994112,37786,102134,2020,12,6
2207901,135265,402948,2020,12,0
2209124,120009,155614,2020,12,1
2267274,134575,402019,2020,12,2
1412027,61881,203024,2020,12,3
438204,16906,45608,2020,12,4
1235376,54315,161452,2020,12,5
802848,30140,81639,2020,12,6
1892216,115113,343919,2020,12,0
1908979,127776,343119,2020,12,1
1947896,113431,336003,2020,12,2
1312297,55612,175855,2020,12,3
430570,16309,39184,2021,1,4
1102302,48221,150129,2021,1,5
741912,28609,81209,2021,1,6
1776224,103804,327549,2021,1,0
1816711,105293,326448,2021,1,1
1844906,106395,330459,2021,1,2
1852219,107921,329156,2021,1,3
1867991,108995,349715,2021,1,4
1393577,60466,189944,2021,1,5
792973,29527,80366,2021,1,6
1457210,88265,257960,2021,1,0
1904910,109495,355111,2021,1,1
1883634,108080,349730,2021,1,2
1881280,107469,344387,2021,1,3
1829057,105089,338036,2021,1,4
1340946,57578,179230,2021,1,5
835267,31937,90166,2021,1,6
1863158,105606,347023,2021,1,0
1848124,107376,341304,2021,1,1
1859398,107976,326099,2021,1,2
1853131,106952,330095,2021,1,3
1944641,110712,343737,2021,1,4
1392717,61034,188590,2021,1,5
787623,30072,86778,2021,1,6
1753709,96619,325709,2021,1,0
1762262,102947,324906,2021,1,1
1850465,108782,341285,2021,1,2
1807271,111758,329346,2021,1,3
1873920,110732,332583,2021,1,4
1186573,53872,156285,2021,1,5
751771,28783,73846,2021,1,6
1721907,104095,313303,2021,2,0
1883193,114376,347321,2021,2,1
1927712,100165,352250,2021,2,2
1979900,119409,361385,2021,2,3
2126031,118151,379433,2021,2,4
1560689,69546,219005,2021,2,5
894640,35324,100372,2021,2,6
1918885,114948,360292,2021,2,0
1977501,121445,370959,2021,2,1
1974618,124821,359711,2021,2,2
1983135,126729,362380,2021,2,3
2116596,128274,383913,2021,2,4
1476014,69775,212600,2021,2,5
892055,38403,95997,2021,2,6
1015874,43615,141143,2021,2,0
1005684,41838,136550,2021,2,1
2139144,130657,396863,2021,2,2
2127484,136674,385651,2021,2,3
2214952,135214,388482,2021,2,4
1587372,75616,209865,2021,2,5
906298,39522,94741,2021,2,6
1834500,117549,311723,2021,2,0
2162983,136470,390443,2021,2,1
2181082,136529,395086,2021,2,2
2164267,141828,388874,2021,2,3
2195752,141985,398736,2021,2,4
1623327,79238,226199,2021,2,5
937234,39293,100750,2021,2,6
2189522,132720,385152,2021,3,0
2223977,138530,380860,2021,3,1
2267949,144779,403014,2021,3,2
2289246,117119,402254,2021,3,3
2456695,152573,435379,2021,3,4
1759101,84730,247446,2021,3,5
1013019,43668,116901,2021,3,6
2341487,159874,412661,2021,3,0
2398289,155526,423173,2021,3,1
2439205,159164,427801,2021,3,2
2423097,159008,422535,2021,3,3
2515451,163775,444089,2021,3,4
1749728,87266,253359,2021,3,5
992392,45114,109631,2021,3,6
2404738,154583,427951,2021,3,0
2294102,153914,399402,2021,3,1
2332390,162339,417315,2021,3,2
2488102,180635,441402,2021,3,3
2581361,169312,447868,2021,3,4
1407535,74094,180108,2021,3,5
1024672,48116,109867,2021,3,6
2468687,162130,444360,2021,3,0
2530784,170010,451656,2021,3,1
1261169,68137,179101,2021,3,2
1838151,142238,318373,2021,3,3
2473168,168183,425027,2021,3,4
1627818,84475,226485,2021,3,5
970608,44168,104248,2021,3,6
2437863,163031,430273,2021,3,0
2453714,163225,440267,2021,3,1
2507300,171796,453256,2021,3,2
1810327,93790,320906,2021,4,3
1047968,50609,137428,2021,4,4
1590370,36877,215376,2021,4,5
960942,40102,96122,2021,4,6
2408107,152954,381004,2021,4,0
2405029,155103,419890,2021,4,1
2388379,151225,412532,2021,4,2
2328514,159902,402601,2021,4,3
2017057,128940,338197,2021,4,4
1268144,57150,164728,2021,4,5
742697,32314,77821,2021,4,6
2177718,129744,358310,2021,4,0
2163294,131643,355181,2021,4,1
2125379,129922,351601,2021,4,2
2103843,130540,342207,2021,4,3
2096015,127509,349409,2021,4,4
1297199,56846,174856,2021,4,5
664476,25578,68225,2021,4,6
1806890,112633,326777,2021,4,0
1866094,118767,328854,2021,4,1
1881494,119563,333901,2021,4,2
1870196,120143,323591,2021,4,3
1927208,122288,334102,2021,4,4
1263345,56485,165426,2021,4,5
708265,26984,73015,2021,4,6
1845448,116907,327393,2021,4,0
1886649,122538,337931,2021,4,1
1904835,122121,340129,2021,4,2
1903041,122164,336148,2021,4,3
1986421,125153,353641,2021,4,4
871003,31417,108048,2021,5,5
704084,24717,75303,2021,5,6
1759279,104433,313449,2021,5,0
1866134,110115,323159,2021,5,1
1979295,112858,339838,2021,5,2
1947231,114347,334377,2021,5,3
2008962,116692,344379,2021,5,4
1451575,60517,199818,2021,5,5
745027,26424,80376,2021,5,6
1971622,115701,340724,2021,5,0
1966091,116835,330532,2021,5,1
1994974,119159,343065,2021,5,2
1985162,119713,345633,2021,5,3
2082130,122491,330468,2021,5,4
1458217,61476,194194,2021,5,5
758788,28053,78829,2021,5,6
1953790,116084,341003,2021,5,0
1968593,115645,343524,2021,5,1
1983592,117762,347839,2021,5,2
1981973,121499,343535,2021,5,3
1884602,122484,326669,2021,5,4
754660,27558,96705,2021,5,5
424356,13359,44471,2021,5,6
699881,24101,94653,2021,5,0
572147,19955,74424,2021,5,1
1438043,78433,258100,2021,5,2
1452406,78834,254947,2021,5,3
1539584,82871,271222,2021,5,4
1038133,37388,138253,2021,5,5
556249,18056,60015,2021,5,6
1834142,107941,318600,2021,5,0
1852424,112817,328363,2021,6,1
1927801,117896,342534,2021,6,2
1944103,121739,343384,2021,6,3
2046738,123508,357932,2021,6,4
1195028,44378,155113,2021,6,5
656353,24525,70580,2021,6,6
1998318,121130,354976,2021,6,0
2006174,123124,353371,2021,6,1
1968676,123008,347172,2021,6,2
2035490,127417,352981,2021,6,3
2132739,136250,381644,2021,6,4
1414994,58666,197390,2021,6,5
782001,29303,82478,2021,6,6
2052967,127891,364285,2021,6,0
2084554,131354,363838,2021,6,1
2178433,130778,364626,2021,6,2
2203262,135405,363218,2021,6,3
2324513,156602,394598,2021,6,4
1616478,71459,205901,2021,6,5
828590,32648,84845,2021,6,6
880537,37664,108283,2021,6,0
2287631,137628,380885,2021,6,1
2216069,136750,368963,2021,6,2
2154982,138148,354413,2021,6,3
2386906,147392,398220,2021,6,4
1526488,74442,227137,2021,6,5
740586,32237,73598,2021,6,6
2114888,135378,356585,2021,6,0
2158718,135790,359617,2021,6,1
2215082,138882,363236,2021,6,2
2265773,145154,373541,2021,7,3
2397001,153489,398886,2021,7,4
1712792,82661,242526,2021,7,5
963839,40815,102669,2021,7,6
2390221,147657,395679,2021,7,0
2386714,152503,392635,2021,7,1
2255210,148374,369159,2021,7,2
2576135,173282,394815,2021,7,3
1308834,66246,184441,2021,7,4
1665368,85208,239961,2021,7,5
962294,42953,110080,2021,7,6
2175840,149132,355900,2021,7,0
2388267,159826,394705,2021,7,1
2369036,161725,391219,2021,7,2
2473006,171124,350720,2021,7,3
2574006,179240,420974,2021,7,4
1742414,99647,256053,2021,7,5
906647,49764,100764,2021,7,6
2196479,154977,394364,2021,7,0
2340191,170262,406680,2021,7,1
2274736,163348,402315,2021,7,2
2295135,166297,402334,2021,7,3
2400652,174434,425729,2021,7,4
1699158,98443,244361,2021,7,5
890671,49251,98081,2021,7,6
2221045,160881,405275,2021,7,0
2200718,163457,400659,2021,7,1
2190593,168254,390860,2021,7,2
2219752,167747,395167,2021,7,3
2361168,175676,420409,2021,7,4
1788381,106787,235022,2021,7,5
1064183,59230,101803,2021,8,6
2474047,174196,426812,2021,8,0
2536159,179736,426506,2021,8,1
2583753,185511,433014,2021,8,2
2604268,200968,443474,2021,8,3
2751045,198829,480981,2021,8,4
1977466,137083,311901,2021,8,5
787498,44213,88369,2021,8,6
2219109,174849,384634,2021,8,0
2653138,197161,445162,2021,8,1
2707376,202278,456248,2021,8,2
2715306,204858,463821,2021,8,3
2809841,213149,490715,2021,8,4
1984866,124050,289683,2021,8,5
1159560,71863,129286,2021,8,6
1177868,70525,158877,2021,8,0
2740623,208159,471968,2021,8,1
2789870,233432,490204,2021,8,2
2593415,209337,438740,2021,8,3
2885002,223827,496658,2021,8,4
1898623,120183,282645,2021,8,5
1139784,67608,133884,2021,8,6
2694074,208250,462942,2021,8,0
2738944,217131,472578,2021,8,1
2772632,217045,478965,2021,8,2
2768420,220952,481003,2021,8,3
2845584,234405,501352,2021,8,4
1924391,125893,295341,2021,8,5
1151414,68810,138212,2021,8,6
2745014,212817,477802,2021,8,0
2795235,221962,483445,2021,8,1
2502873,217848,427700,2021,9,2
2551013,222979,438777,2021,9,3
2946012,246492,522061,2021,9,4
1923982,130307,294279,2021,9,5
1127450,71375,133304,2021,9,6
2910085,232645,508594,2021,9,0
2492861,221971,409226,2021,9,1
2226685,216660,390191,2021,9,2
2758727,245232,467964,2021,9,3
2964997,260434,520845,2021,9,4
1985088,135510,313285,2021,9,5
311166,279,17590,2021,9,6
2798821,234512,498055,2021,9,0
3020387,250501,519199,2021,9,1
3059614,255646,508419,2021,9,2
3038162,259502,526721,2021,9,3
3135432,273867,552516,2021,9,4
2086700,149333,335921,2021,9,5
1182535,80625,139294,2021,9,6
2906699,248709,504927,2021,9,0
2836806,269642,531132,2021,9,1
2978268,259683,509683,2021,9,2
3017260,267251,524849,2021,9,3
3131997,280384,561702,2021,9,4
2070801,146869,330630,2021,9,5
1253306,85774,155026,2021,9,6
2846540,245803,512077,2021,9,0
2938140,261882,518329,2021,9,1
3060345,269171,548633,2021,9,2
2699220,262088,487569,2021,9,3
3197223,289493,575658,2021,10,4
1943077,145504,310660,2021,10,5
1207603,86137,142826,2021,10,6
3072907,269127,558675,2021,10,0
3191969,290767,578180,2021,10,1
3199105,298100,586746,2021,10,2
2995661,319955,601982,2021,10,3
1836546,143453,316861,2021,10,4
2037807,164637,353924,2021,10,5
1213935,99841,152226,2021,10,6
1182277,88025,178561,2021,10,0
3133836,292410,581335,2021,10,1
3085579,294221,562338,2021,10,2
3193473,316869,571976,2021,10,3
3341481,315842,609363,2021,10,4
2271740,174811,381776,2021,10,5
1290661,103287,167234,2021,10,6
3067714,309959,578936,2021,10,0
3195317,298746,572145,2021,10,1
3222705,307427,587334,2021,10,2
3224327,310240,582415,2021,10,3
3188117,310427,582535,2021,10,4
2090023,173477,335541,2021,10,5
1308212,97394,163818,2021,10,6
3134050,291946,581429,2021,10,0
3186061,307927,583674,2021,10,1
3164089,304129,576433,2021,10,2
3134863,317026,575518,2021,10,3
3272746,314795,574042,2021,10,4
2166837,144552,350424,2021,10,5
1230387,89666,145382,2021,10,6
3108937,300682,564622,2021,11,0
3054593,309844,562253,2021,11,1
3215206,322172,587876,2021,11,2
3285970,337550,606210,2021,11,3
3386772,338891,631151,2021,11,4
2306066,239353,407171,2021,11,5
1362079,103695,171283,2021,11,6
3221945,317154,613841,2021,11,0
3316513,327114,619227,2021,11,1
